# CodeVisualization 分析结果导出
# 导出时间: 2025-07-31 15:52:24
# 项目分析结果 - C:/Users/admin/Desktop/code/PHMWidgetManager

# 概览信息
项目,值
项目路径,C:/Users/admin/Desktop/code/PHMWidgetManager
分析时间,2025-07-31 15:52:15
总文件数,224
总行数,73,877
代码行数,60,480
注释行数,5,388
空行数,8,009
总文件大小,2.47 MB
代码行占比,81.87%
注释行占比,7.29%
空行占比,10.84%
编程语言数量,2

# 详细统计表格
语言,文件数,总行数,代码行数,注释行数,空行数,文件大小,平均行数,代码密度
C++,107,60,230,51,272,4,220,4,738,2.11 MB,562.9,85.13%
C/C++ Header,117,13,647,9,208,1,168,3,271,369.81 KB,116.6,67.47%

# 文件列表
文件路径,语言,总行数,代码行数,注释行数,空行数,文件大小,代码密度
C:/Users/admin/Desktop/code/PHMWidgetManager/base/algorithmbase.h,C/C++ Header,119,106,5,8,3.42 KB,89.08%
C:/Users/admin/Desktop/code/PHMWidgetManager/base/define.h,C/C++ Header,89,80,2,7,2.19 KB,89.89%
C:/Users/admin/Desktop/code/PHMWidgetManager/include/commformat.h,C/C++ Header,37,11,12,14,873.00 B,29.73%
C:/Users/admin/Desktop/code/PHMWidgetManager/include/cris-ml_complete_v3-2-3.h,C/C++ Header,2,847,1,752,14,1,081,70.23 KB,61.54%
C:/Users/admin/Desktop/code/PHMWidgetManager/include/datastruct.h,C/C++ Header,711,543,75,93,17.30 KB,76.37%
C:/Users/admin/Desktop/code/PHMWidgetManager/include/framestruct.h,C/C++ Header,39,29,3,7,952.00 B,74.36%
C:/Users/admin/Desktop/code/PHMWidgetManager/include/worktype.h,C/C++ Header,875,509,2,364,20.26 KB,58.17%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/adduser.cpp,C++,226,186,25,15,5.69 KB,82.30%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/adduser.h,C/C++ Header,54,42,2,10,1.19 KB,77.78%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/alarminfowgt.cpp,C++,162,135,20,7,6.45 KB,83.33%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/alarminfowgt.h,C/C++ Header,40,31,0,9,939.00 B,77.50%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/assistant.cpp,C++,118,50,52,16,4.12 KB,42.37%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/assistant.h,C/C++ Header,74,18,49,7,2.79 KB,24.32%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/assistantmanagermain.cpp,C++,1,512,1,336,128,48,57.21 KB,88.36%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/assistantmanagermain.h,C/C++ Header,120,94,7,19,4.79 KB,78.33%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/cfft.cpp,C++,709,655,24,30,17.35 KB,92.38%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/cfft.h,C/C++ Header,82,64,7,11,2.35 KB,78.05%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/chartpie.cpp,C++,520,448,5,67,9.74 KB,86.15%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/chartpie.h,C/C++ Header,157,119,12,26,5.96 KB,75.80%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/cheaderview.cpp,C++,68,48,12,8,2.20 KB,70.59%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/cheaderview.h,C/C++ Header,48,19,22,7,1.21 KB,39.58%
C:/Users/admin/Desktop/code/PHMWidgetManager/PHMWidget/common.h,C/C++ Header,15,6,3,6,276.00 B,40.00%
